price,symbol,id,side,size,timestamp_e6,cross_seq
48412.50,BTCUSD,484125000,Buy,83204,1640274379047154,4775819907
48415.50,BTCUSD,484155000,Buy,51970,1640274379047154,4775819907
48421.00,BTCUSD,484210000,Buy,6498,1640274379047154,4775819907
48422.50,BTCUSD,484225000,Buy,77718,1640274379047154,4775819907
48424.50,BTCUSD,484245000,Buy,100,1640274379047154,4775819907
48428.50,BTCUSD,484285000,Buy,100,1640274379047154,4775819907
48454.50,BTCUSD,484545000,Buy,100,1640274379047154,4775819907
48473.00,BTCUSD,484730000,Buy,100,1640274379047154,4775819907
48476.50,BTCUSD,484765000,Buy,10000,1640274379047154,4775819907
48480.00,BTCUSD,484800000,Buy,2178,1640274379047154,4775819907
48486.00,BTCUSD,484860000,Buy,608,1640274379047154,4775819907
48488.50,BTCUSD,484885000,Buy,8550,1640274379047154,4775819907
48492.00,BTCUSD,484920000,Buy,938,1640274379047154,4775819907
48515.50,BTCUSD,485155000,Buy,186,1640274379047154,4775819907
48527.00,BTCUSD,485270000,Buy,25,1640274379047154,4775819907
48531.50,BTCUSD,485315000,Buy,100,1640274379047154,4775819907
48552.00,BTCUSD,485520000,Buy,100,1640274379047154,4775819907
48560.00,BTCUSD,485600000,Buy,20,1640274379047154,4775819907
48570.00,BTCUSD,485700000,Buy,20,1640274379047154,4775819907
48575.00,BTCUSD,485750000,Buy,200,1640274379047154,4775819907
48580.00,BTCUSD,485800000,Buy,20,1640274379047154,4775819907
48590.00,BTCUSD,485900000,Buy,20,1640274379047154,4775819907
48600.00,BTCUSD,486000000,Buy,37772,1640274379047154,4775819907
48610.00,BTCUSD,486100000,Buy,20,1640274379047154,4775819907
48620.00,BTCUSD,486200000,Buy,20,1640274379047154,4775819907
48621.50,BTCUSD,486215000,Buy,100,1640274379047154,4775819907
48630.00,BTCUSD,486300000,Buy,20,1640274379047154,4775819907
48639.00,BTCUSD,486390000,Buy,100,1640274379047154,4775819907
48639.50,BTCUSD,486395000,Buy,433,1640274379047154,4775819907
48640.00,BTCUSD,486400000,Buy,20,1640274379047154,4775819907
48640.50,BTCUSD,486405000,Buy,100,1640274379047154,4775819907
48646.00,BTCUSD,486460000,Buy,100,1640274379047154,4775819907
48649.00,BTCUSD,486490000,Buy,25,1640274379047154,4775819907
48649.50,BTCUSD,486495000,Buy,100,1640274379047154,4775819907
48650.00,BTCUSD,486500000,Buy,20,1640274379047154,4775819907
48655.00,BTCUSD,486550000,Buy,100,1640274379047154,4775819907
48659.00,BTCUSD,486590000,Buy,200,1640274379047154,4775819907
48660.00,BTCUSD,486600000,Buy,20,1640274379047154,4775819907
48660.50,BTCUSD,486605000,Buy,1000,1640274379047154,4775819907
48661.00,BTCUSD,486610000,Buy,100,1640274379047154,4775819907
48670.00,BTCUSD,486700000,Buy,20,1640274379047154,4775819907
48671.00,BTCUSD,486710000,Buy,100,1640274379047154,4775819907
48676.50,BTCUSD,486765000,Buy,100,1640274379047154,4775819907
48678.00,BTCUSD,486780000,Buy,264,1640274379047154,4775819907
48680.00,BTCUSD,486800000,Buy,20,1640274379047154,4775819907
48686.00,BTCUSD,486860000,Buy,14,1640274379047154,4775819907
48690.00,BTCUSD,486900000,Buy,23,1640274379047154,4775819907
48700.00,BTCUSD,487000000,Buy,20,1640274379047154,4775819907
48702.00,BTCUSD,487020000,Buy,5700,1640274379047154,4775819907
48710.00,BTCUSD,487100000,Buy,20,1640274379047154,4775819907
48712.00,BTCUSD,487120000,Buy,20,1640274379047154,4775819907
48720.00,BTCUSD,487200000,Buy,20,1640274379047154,4775819907
48724.00,BTCUSD,487240000,Buy,76800,1640274379047154,4775819907
48730.00,BTCUSD,487300000,Buy,20,1640274379047154,4775819907
48740.00,BTCUSD,487400000,Buy,20,1640274379047154,4775819907
48744.00,BTCUSD,487440000,Buy,8400,1640274379047154,4775819907
48744.50,BTCUSD,487445000,Buy,7170,1640274379047154,4775819907
48745.00,BTCUSD,487450000,Buy,132060,1640274379047154,4775819907
48745.50,BTCUSD,487455000,Buy,108510,1640274379047154,4775819907
48746.00,BTCUSD,487460000,Buy,124650,1640274379047154,4775819907
48746.50,BTCUSD,487465000,Buy,41280,1640274379047154,4775819907
48747.00,BTCUSD,487470000,Buy,27490,1640274379047154,4775819907
48748.00,BTCUSD,487480000,Buy,12000,1640274379047154,4775819907
48750.00,BTCUSD,487500000,Buy,20,1640274379047154,4775819907
48759.50,BTCUSD,487595000,Buy,16,1640274379047154,4775819907
48760.00,BTCUSD,487600000,Sell,78350,1640274379047154,4775819907
48760.50,BTCUSD,487605000,Sell,99560,1640274379047154,4775819907
48761.00,BTCUSD,487610000,Sell,125470,1640274379047154,4775819907
48761.50,BTCUSD,487615000,Sell,84960,1640274379047154,4775819907
48762.00,BTCUSD,487620000,Sell,125840,1640274379047154,4775819907
48762.50,BTCUSD,487625000,Sell,153700,1640274379047154,4775819907
48763.00,BTCUSD,487630000,Sell,140860,1640274379047154,4775819907
48765.00,BTCUSD,487650000,Sell,10,1640274379047154,4775819907
48770.00,BTCUSD,487700000,Sell,10,1640274379047154,4775819907
48773.00,BTCUSD,487730000,Sell,5700,1640274379047154,4775819907
48775.00,BTCUSD,487750000,Sell,10,1640274379047154,4775819907
48780.00,BTCUSD,487800000,Sell,10,1640274379047154,4775819907
48783.50,BTCUSD,487835000,Sell,38810,1640274379047154,4775819907
48785.00,BTCUSD,487850000,Sell,10,1640274379047154,4775819907
48790.00,BTCUSD,487900000,Sell,10,1640274379047154,4775819907
48795.00,BTCUSD,487950000,Sell,10,1640274379047154,4775819907
48799.50,BTCUSD,487995000,Sell,7,1640274379047154,4775819907
48800.00,BTCUSD,488000000,Sell,10,1640274379047154,4775819907
48802.00,BTCUSD,488020000,Sell,3092,1640274379047154,4775819907
48805.00,BTCUSD,488050000,Sell,10,1640274379047154,4775819907
48809.00,BTCUSD,488090000,Sell,904,1640274379047154,4775819907
48810.00,BTCUSD,488100000,Sell,10,1640274379047154,4775819907
48815.00,BTCUSD,488150000,Sell,10,1640274379047154,4775819907
48820.00,BTCUSD,488200000,Sell,10,1640274379047154,4775819907
48825.00,BTCUSD,488250000,Sell,10,1640274379047154,4775819907
48830.00,BTCUSD,488300000,Sell,10,1640274379047154,4775819907
48833.00,BTCUSD,488330000,Sell,10,1640274379047154,4775819907
48835.00,BTCUSD,488350000,Sell,10,1640274379047154,4775819907
48840.00,BTCUSD,488400000,Sell,10,1640274379047154,4775819907
48844.00,BTCUSD,488440000,Sell,100,1640274379047154,4775819907
48845.00,BTCUSD,488450000,Sell,10,1640274379047154,4775819907
48850.00,BTCUSD,488500000,Sell,10,1640274379047154,4775819907
48853.50,BTCUSD,488535000,Sell,100,1640274379047154,4775819907
48854.00,BTCUSD,488540000,Sell,100,1640274379047154,4775819907
48855.00,BTCUSD,488550000,Sell,10,1640274379047154,4775819907
48855.50,BTCUSD,488555000,Sell,100,1640274379047154,4775819907
48858.50,BTCUSD,488585000,Sell,25,1640274379047154,4775819907
48860.00,BTCUSD,488600000,Sell,10,1640274379047154,4775819907
48863.00,BTCUSD,488630000,Sell,144,1640274379047154,4775819907
48865.00,BTCUSD,488650000,Sell,10,1640274379047154,4775819907
48870.00,BTCUSD,488700000,Sell,10,1640274379047154,4775819907
48873.00,BTCUSD,488730000,Sell,7,1640274379047154,4775819907
48875.00,BTCUSD,488750000,Sell,44,1640274379047154,4775819907
48880.00,BTCUSD,488800000,Sell,10,1640274379047154,4775819907
48885.00,BTCUSD,488850000,Sell,10,1640274379047154,4775819907
48890.00,BTCUSD,488900000,Sell,10,1640274379047154,4775819907
48895.00,BTCUSD,488950000,Sell,10,1640274379047154,4775819907
48900.00,BTCUSD,489000000,Sell,10,1640274379047154,4775819907
48905.00,BTCUSD,489050000,Sell,10,1640274379047154,4775819907
48910.00,BTCUSD,489100000,Sell,10,1640274379047154,4775819907
48915.00,BTCUSD,489150000,Sell,10,1640274379047154,4775819907
48920.00,BTCUSD,489200000,Sell,10,1640274379047154,4775819907
48923.50,BTCUSD,489235000,Sell,34,1640274379047154,4775819907
48925.00,BTCUSD,489250000,Sell,10,1640274379047154,4775819907
48930.00,BTCUSD,489300000,Sell,10,1640274379047154,4775819907
48932.50,BTCUSD,489325000,Sell,72,1640274379047154,4775819907
48935.00,BTCUSD,489350000,Sell,10,1640274379047154,4775819907
48939.00,BTCUSD,489390000,Sell,100,1640274379047154,4775819907
48941.00,BTCUSD,489410000,Sell,100,1640274379047154,4775819907
48946.50,BTCUSD,489465000,Sell,7,1640274379047154,4775819907
48952.00,BTCUSD,489520000,Sell,66,1640274379047154,4775819907
48955.50,BTCUSD,489555000,Sell,8550,1640274379047154,4775819907
48959.00,BTCUSD,489590000,Sell,432,1640274379047154,4775819907
48972.00,BTCUSD,489720000,Sell,34,1640274379047154,4775819907
48980.00,BTCUSD,489800000,Sell,25,1640274379047154,4775819907
49008.50,BTCUSD,490085000,Sell,300,1640274379047154,4775819907
49013.50,BTCUSD,490135000,Sell,300,1640274379047154,4775819907
49017.00,BTCUSD,490170000,Sell,7,1640274379047154,4775819907
49020.00,BTCUSD,490200000,Sell,7,1640274379047154,4775819907
49020.50,BTCUSD,490205000,Sell,34,1640274379047154,4775819907
49023.50,BTCUSD,490235000,Sell,400,1640274379047154,4775819907
49036.00,BTCUSD,490360000,Sell,115,1640274379047154,4775819907
49038.50,BTCUSD,490385000,Sell,100,1640274379047154,4775819907
49040.00,BTCUSD,490400000,Sell,1445,1640274379047154,4775819907
49053.50,BTCUSD,490535000,Sell,69250,1640274379047154,4775819907
49056.00,BTCUSD,490560000,Sell,2011,1640274379047154,4775819907
49058.00,BTCUSD,490580000,Sell,777,1640274379047154,4775819907
49060.00,BTCUSD,490600000,Sell,85326,1640274379047154,4775819907
49065.00,BTCUSD,490650000,Sell,10000,1640274379047154,4775819907
49066.50,BTCUSD,490665000,Sell,77317,1640274379047154,4775819907
49067.50,BTCUSD,490675000,Sell,3881,1640274379047154,4775819907
49069.50,BTCUSD,490695000,Sell,34,1640274379047154,4775819907
49070.00,BTCUSD,490700000,Sell,10000,1640274379047154,4775819907
49070.50,BTCUSD,490705000,Sell,1641,1640274379047154,4775819907
49073.00,BTCUSD,490730000,Sell,50866,1640274379047154,4775819907
49073.50,BTCUSD,490735000,Sell,10000,1640274379047154,4775819907
49074.00,BTCUSD,490740000,Sell,132,1640274379047154,4775819907
49075.00,BTCUSD,490750000,Sell,10000,1640274379047154,4775819907
49079.00,BTCUSD,490790000,Sell,78418,1640274379047154,4775819907
49080.00,BTCUSD,490800000,Sell,10000,1640274379047154,4775819907
49080.50,BTCUSD,490805000,Sell,15,1640274379047154,4775819907
49081.00,BTCUSD,490810000,Sell,100000,1640274379047154,4775819907
49084.50,BTCUSD,490845000,Sell,51090,1640274379047154,4775819907
49085.00,BTCUSD,490850000,Sell,12226,1640274379047154,4775819907
49086.00,BTCUSD,490860000,Sell,3559,1640274379047154,4775819907
49087.00,BTCUSD,490870000,Sell,75846,1640274379047154,4775819907
49088.00,BTCUSD,490880000,Sell,10000,1640274379047154,4775819907
49090.00,BTCUSD,490900000,Sell,10000,1640274379047154,4775819907
49090.50,BTCUSD,490905000,Sell,10000,1640274379047154,4775819907
49091.00,BTCUSD,490910000,Sell,10000,1640274379047154,4775819907
49093.00,BTCUSD,490930000,Sell,56533,1640274379047154,4775819907
49093.50,BTCUSD,490935000,Sell,7,1640274379047154,4775819907
49096.00,BTCUSD,490960000,Sell,233,1640274379047154,4775819907
49098.50,BTCUSD,490985000,Sell,53932,1640274379047154,4775819907
49099.00,BTCUSD,490990000,Sell,1981,1640274379047154,4775819907
49100.00,BTCUSD,491000000,Sell,2400,1640274379047154,4775819907
49101.50,BTCUSD,491015000,Sell,25,1640274379047154,4775819907
49105.00,BTCUSD,491050000,Sell,3777,1640274379047154,4775819907
49106.00,BTCUSD,491060000,Sell,100,1640274379047154,4775819907
49107.00,BTCUSD,491070000,Sell,62384,1640274379047154,4775819907
49107.50,BTCUSD,491075000,Sell,52075,1640274379047154,4775819907
49113.00,BTCUSD,491130000,Sell,50204,1640274379047154,4775819907
49113.50,BTCUSD,491135000,Sell,466,1640274379047154,4775819907
49114.50,BTCUSD,491145000,Sell,971,1640274379047154,4775819907
49115.00,BTCUSD,491150000,Sell,1831,1640274379047154,4775819907
